PL ID,Status,Category,Discipline,Description,Subsystem,Milestone
PL-010087,Originated,B,I,17:cable labelling is in accordance with specification to be done.,PS6-91-01 - Multicore cables & JB,PS6 - Milestone B
PL-010088,Originated,B,I,17:cable labelling is in accordance with specification to be done.,PS6-91-01 - Multicore cables & JB,PS6 - Milestone B
PL-010089,Originated,B,I,17:cable labelling is in accordance with specification to be done.,PS6-91-01 - Multicore cables & JB,PS6 - Milestone B
PL-010112,Originated,B,I,17:Check cable labelling is in accordance with specification to be done.,PS6-91-01 - Multicore cables & JB,PS6 - Milestone B
PL-010114,Originated,B,I,13:enclosure is correctly earthed in accordance with project data to be done.,PS6-91-01 - Multicore cables & JB,PS6 - Milestone B
PL-010115,Originated,B,E,Cable gland earthing is not yet installed,PS5-28-17 - Reinjection Pump,PS5 - Milestone H
PL-010116,Originated,B,E,Cable gland earthing is not yet installed,PS5-71-14 - Diesel Fuel Transfer and Dispensing Station,PS5 - Milestone F
PL-010120,Originated,B,E,Cable gland earthing is not yet installed,PS5-71-05 - CFO Transfer Pump A/B,PS5 - Milestone H
PL-010121,Originated,B,E,Cable gland earthing is not yet installed,PS5-71-05 - CFO Transfer Pump A/B,PS5 - Milestone H
PL-010126,Originated,B,E,Cable gland earthing is not yet installed,PS5-71-13 - CFO Service Pump A/B,PS5 - Milestone H
PL-010131,Originated,B,E,Cable gland earthing is not yet installed,PS5-71-21 - Diesel Transfer Pump A/B,PS5 - Milestone B
PL-010132,Originated,B,E,Cable gland earthing is not yet installed,PS5-71-21 - Diesel Transfer Pump A/B,PS5 - Milestone B
PL-010133,Originated,B,E,Cable gland earthing is not yet installed,PS5-53-02 - Water Distribution Pump A/B,PS5 - Milestone E
PL-010134,Originated,B,E,Cable gland earthing is not yet installed,PS5-53-02 - Water Distribution Pump A/B,PS5 - Milestone E
PL-010183,Originated,B,P,23:FINAL PIPING CONNECTION AND REINSTATEMENT TO BE COMPLETED AFTER HT(descipiline-piping),PS5-60-70 - Engine A Cooling system,PS5 - Milestone B
PL-010184,Originated,C,M,23.1:Touch up / painting to be completed wherever required on the equipment,PS5-60-70 - Engine A Cooling system,PS5 - Milestone B
PL-010185,Originated,B,E,23.2:EARTHING TO BE DONE,PS5-60-70 - Engine A Cooling system,PS5 - Milestone B
PL-010186,Originated,B,P,23:FINAL PIPING CONNECTION AND REINSTATEMENT TO BE COMPLETED AFTER HT(descipiline-piping),PS5-60-70 - Engine A Cooling system,PS5 - Milestone B
PL-010187,Originated,C,M,23.1:Touch up / painting to be completed wherever required on the equipmen,PS5-60-70 - Engine A Cooling system,PS5 - Milestone B
PL-010188,Originated,B,E,23.2:EARTHING TO BE DONE,PS5-60-70 - Engine A Cooling system,PS5 - Milestone B
PL-010189,Originated,B,P,23:FINAL PIPING CONNECTION AND REINSTATEMENT TO BE COMPLETED AFTER HT(descipiline-piping),PS5-60-71 - Engine B Cooling system,PS5 - Milestone B
PL-010190,Originated,C,M,23.1:Touch up / painting to be completed wherever required on the equipment,PS5-60-71 - Engine B Cooling system,PS5 - Milestone B
PL-010191,Originated,B,E,23.2: ERTHING TO BE DONE,PS5-60-71 - Engine B Cooling system,PS5 - Milestone B
PL-010192,Originated,B,P,23:FINAL PIPING CONNECTION AND REINSTATEMENT TO BE COMPLETED AFTER HT(descipiline-piping),PS5-60-71 - Engine B Cooling system,PS5 - Milestone B
PL-010193,Originated,C,P,23.1:Touch up / painting to be completed wherever required on the equipmen,PS5-60-71 - Engine B Cooling system,PS5 - Milestone B
PL-010194,Originated,B,E,23.2:EARTHING TO BE DONE,PS5-60-71 - Engine B Cooling system,PS5 - Milestone B
PL-010358,Originated,B,P,18:Pickling and passivation to be done,PS5-28-04 - Closed Drain Drum and Pump 02,PS5 - Milestone E
PL-010360,Originated,B,P,18:Pickling and Passivation to be done,PS5-28-06 - Relief Drum and Pump,PS5 - Milestone G
PL-010375,Originated,B,I,19:,PS6-28-03 - Closed Drain Drum & Pump,PS6 - Milestone E
PL-010385,Originated,B,T,Cable not Dressing at Both Ends,PS5-08-01 - PAGA,PS5 - Milestone F
PL-010387,Originated,B,T,Cable not Dressing at Both Ends,PS5-08-01 - PAGA,PS5 - Milestone F
PL-010388,Originated,B,T,Cable not Dressing at Both Ends,PS5-08-01 - PAGA,PS5 - Milestone F
PL-010462,Originated,B,I,17:,PS6-91-01 - Multicore cables & JB,PS6 - Milestone B
PL-010488,Originated,B,E,17:,PS6-61-06 - Outdoor Valves Distribution Board - PS6-61-IG-0016,PS6 - Milestone F
PL-010534,Closed,B,B,11: Loose grating clips to be tighten.,PS6-83-01 - EITS Building,PS6 - Milestone G
PL-010561,Originated,B,M,21:COUPLING SPACER TO BE TIGHTENED PROPERLY AFTER MOTOR SOLO-RUN,PS5-71-21 - Diesel Transfer Pump A/B,PS5 - Milestone B
PL-010562,Originated,C,M,21.1:Touch up / painting to be completed wherever required on the equipmen,PS5-71-21 - Diesel Transfer Pump A/B,PS5 - Milestone B
PL-010563,Originated,B,M,21:COUPLING SPACER TO BE TIGHTENED PROPERLY AFTER MOTOR SOLO-RUN,PS5-71-21 - Diesel Transfer Pump A/B,PS5 - Milestone B
PL-010564,Originated,C,M,21.1:Touch up / painting to be completed wherever required on the equipmen,PS5-71-21 - Diesel Transfer Pump A/B,PS5 - Milestone B
PL-010642,Originated,B,E,"PS006-E&I-COW-2700 - Ring Ethernet cat6 Cables that are extended with coupler to be replaced by longer ones, and should pass through suitable cable opening.",PS6-61-04 - 0.4kV Switchboard EITS Building (PS6-61-IK-0001),PS6 - Milestone A
PL-010648,Originated,B,I,19:,PS6-28-04 - Reinjection Pump,PS6 - Milestone E
PL-010755,Originated,B,P,18:Pickling and passivation to be done,PS5-60-25 - Cooling Water Maintenance Tank & Return Pump,PS5 - Milestone E
PL-010756,Originated,B,P,18:Paint touchup to be done,PS5-71-01 - CFO Storage Tank Feed Heater,PS5 - Milestone H
PL-010759,Closed,B,P,Flexible hose connection with nitrogen skid flange management to be done,PS6-28-02 - Relief Header,PS6 - Milestone E
PL-010765,Originated,B,P,18: Pickling and passivation to be don,PS5-28-03 - Closed Drain Drum and Pump 01,PS5 - Milestone G
PL-010766,Originated,B,P,18:Paint touchup to be done,PS5-28-06 - Relief Drum and Pump,PS5 - Milestone G
PL-010865,Originated,B,E,bar not connected to earth grid,PS5-05-02 - Emergency Diesel Generator Package (UCP),PS5 - Milestone C
PL-010868,Originated,C,E,The Panel Frame not to be touch up paint,PS5-05-02 - Emergency Diesel Generator Package (UCP),PS5 - Milestone C
PL-010904,Originated,B,P,18.1: RLMU to be done,PS5-60-25 - Cooling Water Maintenance Tank & Return Pump,PS5 - Milestone E
PL-010912,Originated,B,I,bar not connected to isolated earth grid,PS5-60-10 - Power Generation Package D,PS5 - Milestone D
PL-010921,Originated,B,I,bar not connected to isolated earth grid,PS5-60-16 - Power Generation Package F,PS5 - Milestone D
PL-010964,Originated,B,P,18: Paint touch up to be done,PS5-01-05 - Foam Skid,PS5 - Milestone F
PL-010965,Originated,B,P,18:Pickling and passivation to be done,PS5-01-06 - Foam Concentrate Distribution,PS5 - Milestone F
PL-010967,Originated,B,P,18.1:RLMU to be done,PS5-01-06 - Foam Concentrate Distribution,PS5 - Milestone F
PL-010968,Originated,B,P,18:Paint touchup to be done,PS5-28-12 - Open Drains (OD3),PS5 - Milestone I
PL-011075,Originated,B,P,18:Paint touchup to be done,PS5-60-24 - Cooling Water Tank & Pump,PS5 - Milestone E
